DATE,TIME,USER,PRODUCTION ORDER NUMBER,SKU,FORMULATION,AVERAGE TARE WEIGHT,CAN NET WEIGHT,DENOMINATION
10/6/2025,10:32 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.897,kg
10/6/2025,10:33 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.895,kg
10/6/2025,10:33 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.904,kg
10/6/2025,10:34 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.904,kg
10/6/2025,10:35 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.902,kg
10/6/2025,10:36 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.898,kg
10/6/2025,10:36 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.897,kg
10/6/2025,10:37 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.898,kg
10/6/2025,10:37 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.9,kg
10/6/2025,10:38 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.907,kg
10/6/2025,10:38 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.901,kg
10/6/2025,10:38 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.9,kg
10/6/2025,10:39 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.899,kg
10/6/2025,10:39 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.899,kg
10/6/2025,10:40 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.904,kg
10/6/2025,10:40 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.895,kg
10/6/2025,10:41 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.901,kg
10/6/2025,10:41 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.896,kg
10/6/2025,10:42 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.899,kg
10/6/2025,10:42 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.902,kg
